timestamp,equipment_id,equipment_type,severity,message,facility,operator
2025-04-29T15:12:51.441422,pump_05,pump,INFO,pump_05: Operating within normal parameters,Plant_A,Karen Kelly
2025-04-29T15:12:51.441422,compressor_03,compressor,INFO,compressor_03: Performance metrics nominal,Plant_A,Janice Gonzales
2025-04-29T15:12:51.441422,compressor_01,compressor,INFO,compressor_01: Performance metrics nominal,Plant_C,Richard Baird
2025-04-29T15:12:51.441422,compressor_04,compressor,INFO,compressor_04: Scheduled inspection - no issues found,Plant_B,Alexander Bird
2025-04-29T15:12:51.441422,motor_05,motor,INFO,motor_05: Scheduled inspection - no issues found,Plant_B,Kim Hunt
2025-04-29T15:12:51.441422,compressor_01,compressor,INFO,compressor_01: Operating within normal parameters,Plant_B,Chad Long
2025-04-29T15:12:51.441422,compressor_01,compressor,INFO,compressor_01: Scheduled inspection - no issues found,Plant_B,Jennifer Davis
2025-04-29T15:12:51.441422,compressor_03,compressor,WARNING,compressor_03: Valve Malfunction detected during routine check,Plant_C,James Miller
2025-04-29T16:12:51.441422,heat_exchanger_05,heat_exchanger,INFO,heat_exchanger_05: Scheduled inspection - no issues found,Plant_B,Christina Fisher
2025-04-29T16:12:51.441422,motor_02,motor,INFO,motor_02: Performance metrics nominal,Plant_B,Donald Clark
2025-04-29T16:12:51.441422,compressor_04,compressor,INFO,compressor_04: Scheduled inspection - no issues found,Plant_B,Todd Conley
2025-04-29T17:12:51.441422,motor_01,motor,INFO,motor_01: Operating within normal parameters,Plant_A,Jason Walker
2025-04-29T17:12:51.441422,heat_exchanger_05,heat_exchanger,INFO,heat_exchanger_05: Operating within normal parameters,Plant_A,Stephen Johnson
2025-04-29T18:12:51.441422,turbine_01,turbine,INFO,turbine_01: Scheduled inspection - no issues found,Plant_A,Robert Vasquez
2025-04-29T18:12:51.441422,motor_01,motor,INFO,motor_01: Operating within normal parameters,Plant_B,Madison Brooks
2025-04-29T18:12:51.441422,compressor_01,compressor,INFO,compressor_01: Routine maintenance completed successfully,Plant_B,Linda Shaw
2025-04-29T18:12:51.441422,motor_02,motor,ERROR,motor_02: Bearing Failure detected during routine check,Plant_B,Louis Mckinney
2025-04-29T18:12:51.441422,heat_exchanger_01,heat_exchanger,INFO,heat_exchanger_01: Performance metrics nominal,Plant_C,Diana Swanson
2025-04-29T18:12:51.441422,compressor_04,compressor,WARNING,compressor_04: Cooling Issue detected during routine check,Plant_A,Janet Bowen
2025-04-29T18:12:51.441422,heat_exchanger_03,heat_exchanger,INFO,heat_exchanger_03: Scheduled inspection - no issues found,Plant_C,Laurie Gray
2025-04-29T18:12:51.441422,turbine_01,turbine,INFO,turbine_01: Routine maintenance completed successfully,Plant_C,Cynthia Bolton
2025-04-29T18:12:51.441422,motor_01,motor,INFO,motor_01: Scheduled inspection - no issues found,Plant_A,Bryan Johnson
2025-04-29T18:12:51.441422,turbine_05,turbine,INFO,turbine_05: Routine maintenance completed successfully,Plant_A,Virginia Wise
2025-04-29T19:12:51.441422,compressor_05,compressor,INFO,compressor_05: Scheduled inspection - no issues found,Plant_A,Mark Olsen
2025-04-29T19:12:51.441422,heat_exchanger_02,heat_exchanger,INFO,heat_exchanger_02: Performance metrics nominal,Plant_A,Brenda Mcbride
2025-04-29T19:12:51.441422,heat_exchanger_02,heat_exchanger,ERROR,heat_exchanger_02: Corrosion detected during routine check,Plant_B,Jesse Wilson
2025-04-29T19:12:51.441422,compressor_02,compressor,INFO,compressor_02: Performance metrics nominal,Plant_C,Shannon Logan
2025-04-29T19:12:51.441422,pump_01,pump,INFO,pump_01: Scheduled inspection - no issues found,Plant_B,Monica Dunn
2025-04-29T19:12:51.441422,turbine_04,turbine,INFO,turbine_04: Operating within normal parameters,Plant_C,Corey Le
2025-04-29T20:12:51.441422,motor_04,motor,WARNING,motor_04: Winding Insulation detected during routine check,Plant_A,Brian Parker
2025-04-29T20:12:51.441422,turbine_05,turbine,ERROR,turbine_05: Balance Problem detected during routine check,Plant_C,Christopher Mcclure
2025-04-29T20:12:51.441422,heat_exchanger_03,heat_exchanger,INFO,heat_exchanger_03: Operating within normal parameters,Plant_B,John Garcia
2025-04-29T20:12:51.441422,pump_02,pump,INFO,pump_02: Scheduled inspection - no issues found,Plant_C,Anthony Murphy
2025-04-29T20:12:51.441422,motor_04,motor,INFO,motor_04: Scheduled inspection - no issues found,Plant_C,Sarah Jordan
2025-04-29T20:12:51.441422,pump_03,pump,INFO,pump_03: Scheduled inspection - no issues found,Plant_B,Kathleen Stewart
2025-04-29T20:12:51.441422,motor_04,motor,INFO,motor_04: Operating within normal parameters,Plant_C,Maria Davis
2025-04-29T20:12:51.441422,motor_05,motor,INFO,motor_05: Routine maintenance completed successfully,Plant_B,Matthew Montgomery
2025-04-29T20:12:51.441422,heat_exchanger_02,heat_exchanger,INFO,heat_exchanger_02: Scheduled inspection - no issues found,Plant_A,Jason Colon
2025-04-29T20:12:51.441422,turbine_03,turbine,ERROR,turbine_03: Balance Problem detected during routine check,Plant_B,Joanna Nelson
2025-04-29T20:12:51.441422,heat_exchanger_04,heat_exchanger,INFO,heat_exchanger_04: Operating within normal parameters,Plant_C,Misty Stevens
2025-04-29T21:12:51.441422,compressor_03,compressor,INFO,compressor_03: Scheduled inspection - no issues found,Plant_A,Nicholas Stevenson
2025-04-29T21:12:51.441422,motor_01,motor,INFO,motor_01: Scheduled inspection - no issues found,Plant_B,Sean Gonzalez
2025-04-29T21:12:51.441422,compressor_02,compressor,INFO,compressor_02: Scheduled inspection - no issues found,Plant_C,James Johnson
2025-04-29T22:12:51.441422,motor_01,motor,INFO,motor_01: Routine maintenance completed successfully,Plant_A,Yolanda Mills
2025-04-29T22:12:51.441422,motor_02,motor,INFO,motor_02: Scheduled inspection - no issues found,Plant_A,Jessica Burton
2025-04-29T22:12:51.441422,turbine_02,turbine,INFO,turbine_02: Routine maintenance completed successfully,Plant_A,Traci Warner
